language	page_url	image_url	page_title	section_title	hierarchical_section_title	caption_reference_description	caption_attribution_description	caption_alt_text_description	mime_type	original_height	original_width	is_main_image	attribution_passes_lang_id	page_changed_recently	context_page_description	context_section_description
es	https://es.wikipedia.org/wiki/Hoz_y_martillo	https://upload.wikimedia.org/wikipedia/commons/0/04/MGS_logo.JPG	Hoz y martillo	Emblemas	Hoz y martillo / Galería / Emblemas		Galego: Logo do Movemento Galego ao Socialismo		image/jpeg	107	272	false	false	true	"La hoz y el martillo es un símbolo que representa la unión de los trabajadores, generalmente es usado para representar al comunismo, así como a sus partidos. Está compuesto por una hoz superpuesta a un martillo. Estas dos herramientas son un símbolo del proletariado industrial y del campesinado, respectivamente; el hecho de que estén una sobre la otra simboliza la unidad entre todos los trabajadores.
El símbolo ―llamado серп и молот, serp i molot en idioma ruso― es conocido sobre todo por haber sido parte, junto con la estrella roja, de la bandera roja de la Unión Soviética."	
de	https://de.wikipedia.org/wiki/Kleines_Hasenmaul	https://upload.wikimedia.org/wikipedia/commons/0/07/Noctilio_albiventris.jpg	Kleines Hasenmaul		Kleines Hasenmaul		English: Lesser bulldog bat (Noctilio albiventris)		image/jpeg	1636	2000	true	false	false	Das Kleine Hasenmaul ist eine Fledermausart aus der Familie der Hasenmäuler, welche in Zentral- und Südamerika beheimatet ist.	Das Kleine Hasenmaul (Noctilio albiventris) ist eine Fledermausart aus der Familie der  Hasenmäuler, welche in Zentral- und Südamerika beheimatet ist.
ru	https://ru.wikipedia.org/wiki/%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%B3%D1%80%D0%B8%D0%B2%D0%BD%D0%B0	https://upload.wikimedia.org/wikipedia/commons/f/f9/Coin_of_Ukraine_1-2-5_r.jpg	Украинская гривна	Изъятые из обращения монеты	Украинская гривна / Монеты / Изъятые из обращения монеты		English: Coin of Ukraine Русский: Юбилейная монета Украины		image/jpeg	193	200	false	true	true	Гри́вна — национальная валюта Украины, названная в честь древнерусской гривны, древней денежной единицы, представлявшей собой слиток серебра. Гривна делится на 100 копеек. Буквенный код валюты в стандарте ISO 4217 — UAH, цифровой — 980. Официальный знак — ₴.	С 1 июля 2018 года прекращён дополнительный выпуск в обращение монет номиналом в 1, 2, 5 и 25 копеек. Было объявлено, что обращение монет этих номиналов будет продолжаться до принятия Правлением Национального банка Украины отдельного решения об их изъятии. 25 июня 2019 года Национальный банк объявил, что монеты в 1, 2 и 5 копеек перестанут быть законным платёжным средством и будут изъяты из обращения 1 октября 2019 года. Монета в 25 копеек пока остаётся законным платёжным средством, но постепенно будет выводиться из обращения.
ru	https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BD%D0%B4%D0%B5%D0%BB%D0%B5%D0%B5%D0%B2%D0%BE_(%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C)	http://upload.wikimedia.org/wikipedia/commons/e/e1/Mendeleevo_Msk_region_6_2011.jpg	Менделеево (Московская область)		Менделеево (Московская область)		English: mendeleevo		image/jpeg	1877	2756	true	true	false	"Менделе́ево — посёлок городского типа Московской области России. Входит в городской округ Солнечногорск.
Население — 7064 чел.
Расположен к северо-западу от Москвы, в верховьях реки Клязьма, на 40 километре Ленинградского шоссе, рядом с городом Зеленоградом. Примерно в 700 метрах от посёлка, расположенного в нижней части поймы Клязьмы, на относительно высоком месте, находится село Льялово."	"Менделе́ево — посёлок городского типа Московской области России. Входит в городской округ Солнечногорск.
Население — 7064 чел. (2020).
Расположен к северо-западу от Москвы, в верховьях реки Клязьма, на 40 километре Ленинградского шоссе, рядом с городом Зеленоградом. Примерно в 700 метрах от посёлка, расположенного в нижней части поймы Клязьмы, на относительно высоком месте, находится село Льялово."
sw	https://sw.wikipedia.org/wiki/Brookline,_Massachusetts	https://upload.wikimedia.org/wikipedia/commons/5/5e/Brookline_MA_August_2015_Photo_Collage_2.jpg	Brookline, Massachusetts		Brookline, Massachusetts	Sehemu za Mji wa Brookline, Massachusetts	English: Brookline MA August 2015 Photo Collage 2		image/jpeg	1936	1936	false	false	true	Brookline ni mji wa Marekani katika jimbo la Massachusetts. Kwa mujibu wa sensa iliyofanyika mnamo mwaka wa 2007, mji una wakazi wapatao 55,000 wanaoishi katika mji huu. Mji upo m 5 kutoka juu ya usawa wa bahari. Eneo lake ni 18 km².	Brookline ni mji wa Marekani katika jimbo la Massachusetts. Kwa mujibu wa sensa iliyofanyika mnamo mwaka wa 2007, mji una wakazi wapatao 55,000 wanaoishi katika mji huu. Mji upo m 5 kutoka juu ya usawa wa bahari. Eneo lake ni 18 km².
en	https://en.wikipedia.org/wiki/Chinatown,_Sydney	http://upload.wikimedia.org/wikipedia/commons/4/4f/Hay_Street.jpg	Chinatown, Sydney	Bilingual street signs	Chinatown, Sydney / Bilingual street signs		English: Hay Street 中文（繁體）‎: 禧街		image/jpeg	960	1280	false	false	true	"Chinatown is an urban enclave situated in the southern part of the Sydney Central Business District, in New South Wales, Australia. It is located and comprises the majority of the Haymarket suburb, between Central station and Darling Harbour. It is part of the local government area of the City of Sydney and is Australia's largest Chinatown.
Sydney and the colony of New South Wales experienced Chinese migration as early as 1828. The first group of Chinese labourers from Amoy embarked for New South Wales in 1848. With the discovery of gold in 1851, Chinese immigration increased and by 1855, the number of Chinese immigrants reached 17,000. The Chinese population had traditionally been represented by those who came from Southern China due to the majority of colonial ports being located in the southern coast of China."	"There are many bilingual street signs across Chinatown, denoting the name of streets, lanes, and roads in both English and Chinese. Interestingly, some of the names are based on their Cantonese pronunciation (e.g. Hay Street, which is pronounced ""hei1 gaai1"" in Cantonese, but ""xǐ jiē"" in Mandarin"") whilst others are based on their Mandarin pronunciation (e.g. Liverpool Street, which is pronounced ""lìwùpŭ jiē"" in Mandarin, but ""lei6mat6pou2 gaai1"" in Cantonese). 

Some of these signs are accompanied by their official City of Sydney street signs. On the bottom of each of these signs, it reads, ""Welcome to Chinatown"" and ""歡迎光臨華埠""."
en	https://en.wikipedia.org/wiki/Jayson_Musson	https://upload.wikimedia.org/wikipedia/commons/2/2a/Jayson_Scott_Musson.jpg	Jayson Musson		Jayson Musson	Jayson Musson on October 29, 2007	English: Jayson Scott Musson on October 29, 2007		image/jpeg	400	300	false	true	false	Jayson Scott Musson is an artist who lives and works in Brooklyn, NY. He was born in Bronx, NY.	Jayson Scott Musson is an artist who lives and works in Brooklyn, NY.  He was born in Bronx, NY.
hy	https://hy.wikipedia.org/wiki/%D5%8D%D5%A1%D5%B6%D5%BF%D5%A1_%D5%84%D5%A1%D6%80%D5%AB%D5%A1_%D5%A4%D5%A5%D5%AC_%D5%8A%D5%B8%D5%BA%D5%B8%D5%AC%D5%B8	https://upload.wikimedia.org/wikipedia/commons/c/c7/Santa_Maria_del_Popolo_Cybo.jpg	Սանտա Մարիա դել Պոպոլո	Կողային կապելլաներ	Սանտա Մարիա դել Պոպոլո / Կողային կապելլաներ	Չիբո կապելլա	English: Photo of the Cybo Chapel of Santa Maria del Popolo, Rome, Italy.		image/jpeg	4288	2848	false	false	true	"Սանտա Մարիա դել Պոպոլո, Օգուստինյան եկեղեցի Հռոմում։ Գտնվում է Պիացցա դել Պոպոլո հրապարակի հյուսիսային կողմում, Պորտա դել Պոպոլոյի և Պինցիուս բլրի եզրին։ Եկեղեցին կառուցվել է նախկին մատուռի տեղում, որը կառուցվել էր 1099 թվականին։ Սանտա Մարիա դել Պոպոլոյում առկա ստեղծագործությունները պատկանում են այնպիսի հանրահայտ նկարիչների, ինչպիսին են Ռաֆայելը, Լորենցո Բերնինին, Կարավաջոն, Ալեսսանդրո Ալգարդին, Պինտուրիկիոն, Դոնատո Բրամանտեն և այլն։
Սանտա Մարիա դել Պոպոլոն տիտղոսակիր եկեղեցի է։ 2006 թվականի մարտի 24-ից եկեղեցու կարդինալ քահանան ազգությամբ լեհ Ստանիսլավ Ձիվիշն է։"	
en	https://en.wikipedia.org/wiki/Euodynerus_megaera	https://upload.wikimedia.org/wikipedia/commons/7/76/Euodynerus_megaera.jpg	Euodynerus megaera		Euodynerus megaera		English: Euodynerus megaera		image/jpeg	433	531	true	true	false	Euodynerus megaera is a species of stinging wasp in the family Vespidae.	Euodynerus megaera is a species of stinging wasp in the family Vespidae.
en	https://en.wikipedia.org/wiki/Simon_W._Rosendale	https://upload.wikimedia.org/wikipedia/commons/a/a5/Simon_W._Rosendale_001.jpg	Simon W. Rosendale		Simon W. Rosendale		English: Simon Wolfe Rosendale (June 23, 1842 - April 22, 1937) was an American lawyer and politician. Rosendale was the first Jew elected to a statewide elective office in New York		image/jpeg	727	404	true	true	false	Simon Wolfe Rosendale was an American lawyer and politician. Rosendale was the first Jew elected to a statewide elective office in New York.	Simon Wolfe Rosendale (June 23, 1842 – April 22, 1937) was an American lawyer and politician. Rosendale was the first Jew elected to a statewide elective office in New York.

